lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
34.5,-118.25,8.62592,0.440983,0.112882,0.0573362,Ps,11.8626,0.218118,0.0341916,0.00160447,Sp
34.75,-118.25,8.61646,0.510299,0.0981162,0.0553492,Ps,11.6561,0.127473,0.0333361,0.00126395,Sp
35,-118.25,8.74874,0.44956,0.0918722,0.0534914,Ps,11.5859,0.128957,0.0295799,0.00155062,Sp
35.25,-118.25,9.04627,0.381507,0.116193,0.052603,Ps,11.5863,0.0969186,0.0286828,0.0013873,Sp
35.5,-118.25,9.45671,0.50645,0.148837,0.050541,Ps,11.6289,0.225464,0.026347,0.00203044,Sp
35.75,-118.25,9.83616,0.573311,0.124748,0.0414164,Ps,11.9468,0.319428,0.0254529,0.00087219,Sp
36,-118.25,9.85313,0.508874,0.113032,0.0446181,Ps,12.0571,0.191034,0.0282927,0.00232568,Sp
36.25,-118.25,9.73184,0.519133,0.113465,0.0503662,Ps,11.5359,0.222621,0.0302439,0.00254031,Sp
36.5,-118.25,9.64655,0.525088,0.111026,0.0543908,Ps,11.3587,0.253911,0.0320013,0.00377872,Sp
36.75,-118.25,10.2606,0.582555,0.117376,0.0452578,Ps,11.2056,0.537145,0.0358476,0.00412113,Sp
37,-118.25,10.6442,0.575605,0.18733,0.0566107,Ps,10.8285,0.505251,0.0347519,0.00336922,Sp
37.25,-118.25,10.822,0.451948,0.160579,0.0610102,Ps,11.2558,0.567633,0.0283875,0.00396132,Sp
37.5,-118.25,11.0339,0.387079,0.12846,0.0596763,Ps,11.8995,0.535773,0.0231038,0.00188712,Sp
37.75,-118.25,11.0423,0.4556,0.146635,0.0701109,Ps,11.6187,0.755488,0.0222281,0.00260448,Sp
38,-118.25,10.9921,0.51224,0.159311,0.0653777,Ps,11.663,0.628125,0.0239858,0.00409501,Sp
38.25,-118.25,10.9626,0.380186,0.144922,0.0550992,Ps,10.518,0.877242,0.0253268,0.00482769,Sp
38.5,-118.25,10.9524,0.446138,0.138429,0.0505435,Ps,9.84381,1.25128,0.0220291,0.00486995,Sp
38.75,-118.25,10.508,0.433905,0.112585,0.0480545,Ps,13.048,0.566596,0.0220291,0.00218755,Sp
39,-118.25,10.5261,0.50044,0.105102,0.0473269,Ps,13.4139,1.19819,0.0262785,0.00635076,Sp
39.25,-118.25,10.5119,0.630062,0.0911515,0.0477059,Ps,10.6004,1.26906,0.0417339,0.0140667,Sp
39.5,-118.25,10.1279,0.692774,0.0799113,0.0507341,Ps,10.7721,0.3498,0.0510511,0.00796604,Sp
39.75,-118.25,9.78338,0.571577,0.0791583,0.0518107,Ps,11.4338,0.638348,0.0412287,0.00867673,Sp
40,-118.25,9.58997,0.552321,0.0919103,0.0548188,Ps,11.4109,0.543529,0.0280837,0.00473708,Sp
40.25,-118.25,9.81747,0.4209,0.0625976,0.0426934,Ps,10.6613,0.54354,0.0330673,0.00908585,Sp
40.5,-118.25,9.62109,0.30588,0.0914355,0.0549432,Ps,10.1807,0.22364,0.0404861,0.00746461,Sp
40.75,-118.25,9.89252,0.427729,0.0951829,0.0493305,Ps,10.2262,0.764922,0.0349014,0.0060318,Sp
41,-118.25,9.63218,0.490704,0.105318,0.0584634,Ps,10.7979,0.92223,0.0351989,0.00493846,Sp
41.25,-118.25,9.63791,0.678813,0.109584,0.0508543,Ps,11.4323,0.317438,0.040961,0.00363783,Sp
41.5,-118.25,9.92709,0.746097,0.110774,0.0462546,Ps,11.4932,0.380782,0.0411592,0.00370289,Sp
41.75,-118.25,9.98123,0.748186,0.09889,0.0355254,Ps,10.6122,0.636251,0.0376024,0.00343555,Sp
42,-118.25,10.0355,0.808007,0.0921415,0.0320608,Ps,10.6167,0.223326,0.0403821,0.00315239,Sp
42.25,-118.25,10.0206,0.80852,0.0682817,0.0298249,Ps,10.7813,0.128051,0.0425527,0.00225352,Sp
42.5,-118.25,9.52446,0.633515,0.0945355,0.0344134,Ps,10.6741,0.288486,0.0451887,0.00194909,Sp
42.75,-118.25,9.08938,0.644708,0.10753,0.00812987,Ps,10.2218,0.223549,0.0467984,0.000964864,Sp
43,-118.25,9.5832,0.50725,0.12183,0.0504854,Ps,9.88821,0.1908,0.044322,0.00251386,Sp
43.25,-118.25,9.69861,0.377106,0.156834,0.0800769,Ps,9.74775,0.253472,0.0413343,0.00408416,Sp
43.5,-118.25,9.68166,0.308273,0.157559,0.084833,Ps,9.72291,0.283881,0.0384011,0.00512431,Sp
43.75,-118.25,9.74129,0.369701,0.138312,0.0832497,Ps,9.77813,0.187639,0.0349041,0.00367741,Sp
44,-118.25,9.73159,0.434019,0.133606,0.081046,Ps,9.94758,0.530762,0.0335959,0.00238304,Sp
44.25,-118.25,9.69309,0.312477,0.132436,0.0776265,Ps,11.3039,0.685901,0.0314355,0.00154059,Sp
44.5,-118.25,9.62027,0.431084,0.115047,0.0643415,Ps,11.5425,0.405952,0.0309803,0.00195417,Sp
44.75,-118.25,9.81159,0.493635,0.0921484,0.0506292,Ps,10.9796,0.156298,0.0347045,0.00387629,Sp
45,-118.25,10.249,0.430112,0.0855812,0.0532604,Ps,10.863,0.124672,0.0384866,0.00236673,Sp
33,-118,6.94785,0.35404,0.128882,0.0378159,Ps,12.4733,0.127216,0.0410579,0.00574401,Sp
33.25,-118,6.9567,0.303714,0.10713,0.0339837,Ps,12.4777,0.159899,0.0330833,0.00445039,Sp
33.5,-118,7.35993,0.309631,0.113264,0.0382305,Ps,12.2845,0.128446,0.0304021,0.00171742,Sp
33.75,-118,7.79436,0.375968,0.156205,0.056091,Ps,12.2782,0.128164,0.0331326,0.0042646,Sp
